Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2008,07,04,07,30,00,431.01
2008,07,04,08,00,00,490.77467
2008,07,04,08,30,00,540.508
2008,07,04,09,00,00,597.58533
2008,07,04,09,30,00,642.646
2008,07,04,10,00,00,670.441
2008,07,04,10,30,00,693.90133
2008,07,04,11,00,00,737.184
2008,07,04,11,30,00,719.708
2008,07,04,12,00,00,753.58233
2008,07,04,12,30,00,764.592
2008,07,04,13,00,00,713.963
2008,07,04,13,30,00,729.32567
2008,07,04,14,00,00,686.33
2008,07,04,14,30,00,574.38333
2008,07,04,15,00,00,553.949
2008,07,04,15,30,00,569.80867
2008,07,04,16,00,00,287.73133
2008,07,04,16,30,00,497.11167
2008,07,04,17,00,00,77.37267
2008,07,04,17,30,00,200.16933
2008,07,04,18,00,00,199.835
2008,07,04,18,30,00,264.00033
2008,07,04,19,00,00,187.41733
2008,07,04,19,30,00,147.108
2008,07,04,20,00,00,85.70967
2008,07,04,20,30,00,61.19533
2008,07,04,21,00,00,21.834
2008,07,04,21,30,00,7.082
2008,07,04,22,00,00,3.082
2008,07,04,22,30,00,1.146
2008,07,04,23,00,00,0.298
2008,07,04,23,30,00,0.346
2008,07,05,00,00,00,-0.376
2008,07,05,00,30,00,-0.376
2008,07,05,01,00,00,-0.488
2008,07,05,01,30,00,-0.296
2008,07,05,02,00,00,0.872
2008,07,05,02,30,00,3.32
2008,07,05,03,00,00,9.224
2008,07,05,03,30,00,17.64
2008,07,05,04,00,00,49.51867
2008,07,05,04,30,00,89.858
2008,07,05,05,00,00,135.02933
2008,07,05,05,30,00,182.71567
2008,07,05,06,00,00,213.16467
2008,07,05,06,30,00,271.20433
2008,07,05,07,00,00,355.21233
2008,07,05,07,30,00,438.78933
2008,07,05,08,00,00,517.085
2008,07,05,08,30,00,522.47867
2008,07,05,09,00,00,431.046
2008,07,05,09,30,00,500.267
2008,07,05,10,00,00,421.988
2008,07,05,10,30,00,597.01467
2008,07,05,11,00,00,823.80567
2008,07,05,11,30,00,452.82367
2008,07,05,12,00,00,275.60433
2008,07,05,12,30,00,234.33667
2008,07,05,13,00,00,232.30467
2008,07,05,13,30,00,236.28967
2008,07,05,14,00,00,155.14733
2008,07,05,14,30,00,146.55067
2008,07,05,15,00,00,213.75833
2008,07,05,15,30,00,259.22067
2008,07,05,16,00,00,206.764
2008,07,05,16,30,00,72.95867
2008,07,05,17,00,00,160.056
2008,07,05,17,30,00,133.14267
2008,07,05,18,00,00,145.35167
2008,07,05,18,30,00,64.288
2008,07,05,19,00,00,104.93
2008,07,05,19,30,00,85.33
2008,07,05,20,00,00,57.025
2008,07,05,20,30,00,28.424
2008,07,05,21,00,00,12.872
2008,07,05,21,30,00,7.848
2008,07,05,22,00,00,2.776
2008,07,05,22,30,00,1.416
2008,07,05,23,00,00,1.112
2008,07,05,23,30,00,0.776
2008,07,06,00,00,00,0.064
2008,07,06,00,30,00,-0.368
2008,07,06,01,00,00,-0.352
2008,07,06,01,30,00,-0.368
2008,07,06,02,00,00,0.288
2008,07,06,02,30,00,2.928
2008,07,06,03,00,00,10.08
2008,07,06,03,30,00,17.488
2008,07,06,04,00,00,30.24
2008,07,06,04,30,00,54.50333
2008,07,06,05,00,00,195.90733
2008,07,06,05,30,00,220.48667
2008,07,06,06,00,00,270.26967
2008,07,06,06,30,00,324.227
2008,07,06,07,00,00,244.84267
2008,07,06,07,30,00,194.71
2008,07,06,08,00,00,301.601
2008,07,06,08,30,00,368.632
2008,07,06,09,00,00,265.27533
2008,07,06,09,30,00,589.50433
2008,07,06,10,00,00,522.01
2008,07,06,10,30,00,715.038
2008,07,06,11,00,00,333.25167
2008,07,06,11,30,00,372.313
2008,07,06,12,00,00,563.80567
2008,07,06,12,30,00,578.20733
2008,07,06,13,00,00,483.04433
2008,07,06,13,30,00,294.70333
2008,07,06,14,00,00,382.48967
2008,07,06,14,30,00,469.331
2008,07,06,15,00,00,425.87
2008,07,06,15,30,00,434.64
2008,07,06,16,00,00,183.653
2008,07,06,16,30,00,460.81767
2008,07,06,17,00,00,285.32667
2008,07,06,17,30,00,388.939
2008,07,06,18,00,00,332.40367
2008,07,06,18,30,00,299.665
2008,07,06,19,00,00,205.574
2008,07,06,19,30,00,138.575
2008,07,06,20,00,00,69.38367
2008,07,06,20,30,00,56.18233
2008,07,06,21,00,00,21.968
2008,07,06,21,30,00,7.728
2008,07,06,22,00,00,3.232
2008,07,06,22,30,00,0.816
2008,07,06,23,00,00,0.336
2008,07,06,23,30,00,0.688
2008,07,07,00,00,00,1.082
2008,07,07,00,30,00,1.018
2008,07,07,01,00,00,0.25
2008,07,07,01,30,00,0.954
2008,07,07,02,00,00,2.09
2008,07,07,02,30,00,3.802
2008,07,07,03,00,00,5.564
2008,07,07,03,30,00,8.996
2008,07,07,04,00,00,12.836
2008,07,07,04,30,00,29.524
2008,07,07,05,00,00,73.98933
2008,07,07,05,30,00,61.204
2008,07,07,06,00,00,72.30933
2008,07,07,06,30,00,115.918
2008,07,07,07,00,00,112.203
2008,07,07,07,30,00,116.59
2008,07,07,08,00,00,204.46933
2008,07,07,08,30,00,180.78667
2008,07,07,09,00,00,209.832
2008,07,07,09,30,00,242.40933
2008,07,07,10,00,00,200.05467
2008,07,07,10,30,00,236.152
2008,07,07,11,00,00,252.15633
2008,07,07,11,30,00,248.33033
2008,07,07,12,00,00,314.002
2008,07,07,12,30,00,332.05
2008,07,07,13,00,00,367.70467
2008,07,07,13,30,00,278.97333
2008,07,07,14,00,00,654.10467
2008,07,07,14,30,00,288.33433
2008,07,07,15,00,00,233.128
2008,07,07,15,30,00,200.376
2008,07,07,16,00,00,197.976
2008,07,07,16,30,00,227.144
2008,07,07,17,00,00,298.51267
2008,07,07,17,30,00,378.82533
2008,07,07,18,00,00,172.25833
2008,07,07,18,30,00,83.78433
2008,07,07,19,00,00,64.836
2008,07,07,19,30,00,55.06
2008,07,07,20,00,00,44.932
2008,07,07,20,30,00,29.572
2008,07,07,21,00,00,16.548
2008,07,07,21,30,00,6.79767
