Year,Month,Day,Hour,Minute,Second,HYY_META.diffGLOB
2008,07,04,06,00,00,45.45833
2008,07,04,06,30,00,48.953
2008,07,04,07,00,00,53.56867
2008,07,04,07,30,00,56.63633
2008,07,04,08,00,00,59.93433
2008,07,04,08,30,00,64.913
2008,07,04,09,00,00,67.973
2008,07,04,09,30,00,70.78367
2008,07,04,10,00,00,106.80733
2008,07,04,10,30,00,81.10533
2008,07,04,11,00,00,68.16367
2008,07,04,11,30,00,81.61967
2008,07,04,12,00,00,85.45233
2008,07,04,12,30,00,75.34933
2008,07,04,13,00,00,84.08267
2008,07,04,13,30,00,96.109
2008,07,04,14,00,00,116.66367
2008,07,04,14,30,00,221.82133
2008,07,04,15,00,00,285.76467
2008,07,04,15,30,00,99.03833
2008,07,04,16,00,00,145.68067
2008,07,04,16,30,00,82.39967
2008,07,04,17,00,00,63.58033
2008,07,04,17,30,00,130.75467
2008,07,04,18,00,00,125.39633
2008,07,04,18,30,00,88.695
2008,07,04,19,00,00,50.693
2008,07,04,19,30,00,49.17567
2008,07,04,20,00,00,68.84633
2008,07,04,20,30,00,39.233
2008,07,04,21,00,00,19.297
2008,07,04,21,30,00,9.52167
2008,07,04,22,00,00,5.72533
2008,07,04,22,30,00,1.69433
2008,07,04,23,00,00,0.322
2008,07,04,23,30,00,0.47033
2008,07,05,00,00,00,-0.706
2008,07,05,00,30,00,-1.14633
2008,07,05,01,00,00,-1.41
2008,07,05,01,30,00,-1.096
2008,07,05,02,00,00,-0.006
2008,07,05,02,30,00,2.23733
2008,07,05,03,00,00,7.42033
2008,07,05,03,30,00,14.866
2008,07,05,04,00,00,22.68233
2008,07,05,04,30,00,31.43033
2008,07,05,05,00,00,39.924
2008,07,05,05,30,00,51.456
2008,07,05,06,00,00,96.61233
2008,07,05,06,30,00,117.02367
2008,07,05,07,00,00,107.57033
2008,07,05,07,30,00,76.55933
2008,07,05,08,00,00,84.052
2008,07,05,08,30,00,151.31133
2008,07,05,09,00,00,142.278
2008,07,05,09,30,00,178.869
2008,07,05,10,00,00,248.403
2008,07,05,10,30,00,278.16367
2008,07,05,11,00,00,299.39933
2008,07,05,11,30,00,397.777
2008,07,05,12,00,00,280.42929
2008,07,05,12,30,00,234.708
2008,07,05,13,00,00,234.262
2008,07,05,13,30,00,238.40833
2008,07,05,14,00,00,157.42867
2008,07,05,14,30,00,148.07067
2008,07,05,15,00,00,215.29967
2008,07,05,15,30,00,259.35667
2008,07,05,16,00,00,208.98467
2008,07,05,16,30,00,75.25133
2008,07,05,17,00,00,158.58
2008,07,05,17,30,00,132.92233
2008,07,05,18,00,00,144.39967
2008,07,05,18,30,00,65.50867
2008,07,05,19,00,00,103.061
2008,07,05,19,30,00,86.269
2008,07,05,20,00,00,59.31033
2008,07,05,20,30,00,31.946
2008,07,05,21,00,00,16.29767
2008,07,05,21,30,00,9.29833
2008,07,05,22,00,00,5.14433
2008,07,05,22,30,00,3.52833
2008,07,05,23,00,00,2.72033
2008,07,05,23,30,00,2.047
2008,07,06,00,00,00,1.268
2008,07,06,00,30,00,-0.90533
2008,07,06,01,00,00,-0.196
2008,07,06,01,30,00,-0.458
2008,07,06,02,00,00,0.11167
2008,07,06,02,30,00,2.88767
2008,07,06,03,00,00,9.30033
2008,07,06,03,30,00,15.67667
2008,07,06,04,00,00,28.41167
2008,07,06,04,30,00,49.94833
2008,07,06,05,00,00,92.13333
2008,07,06,05,30,00,64.548
2008,07,06,06,00,00,59.63533
2008,07,06,06,30,00,57.32067
2008,07,06,07,00,00,88.981
2008,07,06,07,30,00,162.908
2008,07,06,08,00,00,172.378
2008,07,06,08,30,00,194.99667
2008,07,06,09,00,00,173.132
2008,07,06,09,30,00,304.83667
2008,07,06,10,00,00,310.40933
2008,07,06,10,30,00,307.86467
2008,07,06,11,00,00,288.79167
2008,07,06,11,30,00,289.015
2008,07,06,12,00,00,247.04167
2008,07,06,12,30,00,241.91733
2008,07,06,13,00,00,245.77667
2008,07,06,13,30,00,227.11433
2008,07,06,14,00,00,289.30833
2008,07,06,14,30,00,269.19067
2008,07,06,15,00,00,200.38767
2008,07,06,15,30,00,231.98733
2008,07,06,16,00,00,186.46067
2008,07,06,16,30,00,222.48567
2008,07,06,17,00,00,171.39233
2008,07,06,17,30,00,140.36533
2008,07,06,18,00,00,138.072
2008,07,06,18,30,00,126.44833
2008,07,06,19,00,00,101.13267
2008,07,06,19,30,00,51.27267
2008,07,06,20,00,00,44.72067
2008,07,06,20,30,00,40.82433
2008,07,06,21,00,00,16.26567
2008,07,06,21,30,00,8.263
2008,07,06,22,00,00,3.118
2008,07,06,22,30,00,0.93367
2008,07,06,23,00,00,0.76733
2008,07,06,23,30,00,-0.53333
2008,07,07,00,00,00,-0.70667
2008,07,07,00,30,00,0.128
2008,07,07,01,00,00,0.234
2008,07,07,01,30,00,0.236
2008,07,07,02,00,00,1.30033
2008,07,07,02,30,00,4.718
2008,07,07,03,00,00,7.25
