Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2019,01,04,15,00,00,3.24128
2019,01,04,15,30,00,0
2019,01,04,16,00,00,0
2019,01,04,16,30,00,0
2019,01,04,17,00,00,0
2019,01,04,17,30,00,0
2019,01,04,18,00,00,0
2019,01,04,18,30,00,0
2019,01,04,19,00,00,0
2019,01,04,19,30,00,0
2019,01,04,20,00,00,0
2019,01,04,20,30,00,0
2019,01,04,21,00,00,0
2019,01,04,21,30,00,0
2019,01,04,22,00,00,0
2019,01,04,22,30,00,0
2019,01,04,23,00,00,0
2019,01,04,23,30,00,0
2019,01,05,00,00,00,0
2019,01,05,00,30,00,0
2019,01,05,01,00,00,0
2019,01,05,01,30,00,0
2019,01,05,02,00,00,0
2019,01,05,02,30,00,0
2019,01,05,03,00,00,0
2019,01,05,03,30,00,0
2019,01,05,04,00,00,0
2019,01,05,04,30,00,0
2019,01,05,05,00,00,0
2019,01,05,05,30,00,0
2019,01,05,06,00,00,0
2019,01,05,06,30,00,0
2019,01,05,07,00,00,0
2019,01,05,07,30,00,0
2019,01,05,08,00,00,0
2019,01,05,08,30,00,0
2019,01,05,09,00,00,0.06139
2019,01,05,09,30,00,4.01128
2019,01,05,10,00,00,15.01161
2019,01,05,10,30,00,31.14933
2019,01,05,11,00,00,54.08578
2019,01,05,11,30,00,60.64606
2019,01,05,12,00,00,77.074
2019,01,05,12,30,00,70.85494
2019,01,05,13,00,00,80.53439
2019,01,05,13,30,00,45.77972
2019,01,05,14,00,00,27.51228
2019,01,05,14,30,00,14.26022
2019,01,05,15,00,00,4.68322
2019,01,05,15,30,00,0.07367
2019,01,05,16,00,00,0
2019,01,05,16,30,00,0
2019,01,05,17,00,00,0
2019,01,05,17,30,00,0
2019,01,05,18,00,00,0
2019,01,05,18,30,00,0
2019,01,05,19,00,00,0
2019,01,05,19,30,00,0
2019,01,05,20,00,00,0
2019,01,05,20,30,00,0
2019,01,05,21,00,00,0
2019,01,05,21,30,00,0
2019,01,05,22,00,00,0
2019,01,05,22,30,00,0
2019,01,05,23,00,00,0
2019,01,05,23,30,00,0
2019,01,06,00,00,00,0
2019,01,06,00,30,00,0
2019,01,06,01,00,00,0
2019,01,06,01,30,00,0
2019,01,06,02,00,00,0
2019,01,06,02,30,00,0
2019,01,06,03,00,00,0
2019,01,06,03,30,00,0
2019,01,06,04,00,00,0
2019,01,06,04,30,00,0
2019,01,06,05,00,00,0
2019,01,06,05,30,00,0
2019,01,06,06,00,00,0
2019,01,06,06,30,00,0
2019,01,06,07,00,00,0
2019,01,06,07,30,00,0
2019,01,06,08,00,00,0
2019,01,06,08,30,00,0
2019,01,06,09,00,00,0.19511
2019,01,06,09,30,00,7.00039
2019,01,06,10,00,00,20.71328
2019,01,06,10,30,00,43.32006
2019,01,06,11,00,00,48.99772
2019,01,06,11,30,00,53.95739
2019,01,06,12,00,00,50.24811
2019,01,06,12,30,00,57.66222
2019,01,06,13,00,00,71.76561
2019,01,06,13,30,00,41.92622
2019,01,06,14,00,00,28.88844
2019,01,06,14,30,00,12.98467
2019,01,06,15,00,00,2.40161
2019,01,06,15,30,00,0
2019,01,06,16,00,00,0
2019,01,06,16,30,00,0
2019,01,06,17,00,00,0
2019,01,06,17,30,00,0
2019,01,06,18,00,00,0
2019,01,06,18,30,00,0
2019,01,06,19,00,00,0
2019,01,06,19,30,00,0
2019,01,06,20,00,00,0
2019,01,06,20,30,00,0
2019,01,06,21,00,00,0
2019,01,06,21,30,00,0
2019,01,06,22,00,00,0
2019,01,06,22,30,00,0
2019,01,06,23,00,00,0
2019,01,06,23,30,00,0
2019,01,07,00,00,00,0
2019,01,07,00,30,00,0
2019,01,07,01,00,00,0
2019,01,07,01,30,00,0
2019,01,07,02,00,00,0
2019,01,07,02,30,00,0
2019,01,07,03,00,00,0
2019,01,07,03,30,00,0
2019,01,07,04,00,00,0
2019,01,07,04,30,00,0
2019,01,07,05,00,00,0
2019,01,07,05,30,00,0
2019,01,07,06,00,00,0
2019,01,07,06,30,00,0
2019,01,07,07,00,00,0
2019,01,07,07,30,00,0
2019,01,07,08,00,00,0
2019,01,07,08,30,00,0
2019,01,07,09,00,00,0.72033
2019,01,07,09,30,00,12.45422
2019,01,07,10,00,00,35.077
2019,01,07,10,30,00,47.43944
2019,01,07,11,00,00,62.39878
2019,01,07,11,30,00,81.376
2019,01,07,12,00,00,102.64128
2019,01,07,12,30,00,94.39289
2019,01,07,13,00,00,79.123
2019,01,07,13,30,00,58.64561
2019,01,07,14,00,00,36.82089
2019,01,07,14,30,00,16.74967
2019,01,07,15,00,00,5.14667
2019,01,07,15,30,00,0.14444
2019,01,07,16,00,00,0
2019,01,07,16,30,00,0
2019,01,07,17,00,00,0
2019,01,07,17,30,00,0
2019,01,07,18,00,00,0
2019,01,07,18,30,00,0
