Year,Month,Day,Hour,Minute,Second,HYY_EDDYMAST.u_star_270
2019,01,04,18,30,00,NaN
2019,01,04,19,00,00,NaN
2019,01,04,19,30,00,NaN
2019,01,04,20,00,00,NaN
2019,01,04,20,30,00,NaN
2019,01,04,21,00,00,NaN
2019,01,04,21,30,00,NaN
2019,01,04,22,00,00,NaN
2019,01,04,22,30,00,NaN
2019,01,04,23,00,00,NaN
2019,01,04,23,30,00,NaN
2019,01,05,00,00,00,NaN
2019,01,05,00,30,00,NaN
2019,01,05,01,00,00,NaN
2019,01,05,01,30,00,NaN
2019,01,05,02,00,00,NaN
2019,01,05,02,30,00,NaN
2019,01,05,03,00,00,NaN
2019,01,05,03,30,00,NaN
2019,01,05,04,00,00,NaN
2019,01,05,04,30,00,NaN
2019,01,05,05,00,00,NaN
2019,01,05,05,30,00,NaN
2019,01,05,06,00,00,NaN
2019,01,05,06,30,00,NaN
2019,01,05,07,00,00,NaN
2019,01,05,07,30,00,NaN
2019,01,05,08,00,00,NaN
2019,01,05,08,30,00,NaN
2019,01,05,09,00,00,NaN
2019,01,05,09,30,00,NaN
2019,01,05,10,00,00,NaN
2019,01,05,10,30,00,NaN
2019,01,05,11,00,00,NaN
2019,01,05,11,30,00,NaN
2019,01,05,12,00,00,NaN
2019,01,05,12,30,00,NaN
2019,01,05,13,00,00,NaN
2019,01,05,13,30,00,NaN
2019,01,05,14,00,00,NaN
2019,01,05,14,30,00,NaN
2019,01,05,15,00,00,NaN
2019,01,05,15,30,00,NaN
2019,01,05,16,00,00,NaN
2019,01,05,16,30,00,NaN
2019,01,05,17,00,00,NaN
2019,01,05,17,30,00,NaN
2019,01,05,18,00,00,NaN
2019,01,05,18,30,00,NaN
2019,01,05,19,00,00,NaN
2019,01,05,19,30,00,NaN
2019,01,05,20,00,00,NaN
2019,01,05,20,30,00,NaN
2019,01,05,21,00,00,NaN
2019,01,05,21,30,00,NaN
2019,01,05,22,00,00,NaN
2019,01,05,22,30,00,NaN
2019,01,05,23,00,00,NaN
2019,01,05,23,30,00,NaN
2019,01,06,00,00,00,NaN
2019,01,06,00,30,00,NaN
2019,01,06,01,00,00,NaN
2019,01,06,01,30,00,NaN
2019,01,06,02,00,00,NaN
2019,01,06,02,30,00,NaN
2019,01,06,03,00,00,NaN
2019,01,06,03,30,00,NaN
2019,01,06,04,00,00,NaN
2019,01,06,04,30,00,NaN
2019,01,06,05,00,00,NaN
2019,01,06,05,30,00,NaN
2019,01,06,06,00,00,NaN
2019,01,06,06,30,00,NaN
2019,01,06,07,00,00,NaN
2019,01,06,07,30,00,NaN
2019,01,06,08,00,00,NaN
2019,01,06,08,30,00,NaN
2019,01,06,09,00,00,NaN
2019,01,06,09,30,00,NaN
2019,01,06,10,00,00,NaN
2019,01,06,10,30,00,NaN
2019,01,06,11,00,00,NaN
2019,01,06,11,30,00,NaN
2019,01,06,12,00,00,NaN
2019,01,06,12,30,00,NaN
2019,01,06,13,00,00,NaN
2019,01,06,13,30,00,NaN
2019,01,06,14,00,00,NaN
2019,01,06,14,30,00,NaN
2019,01,06,15,00,00,NaN
2019,01,06,15,30,00,NaN
2019,01,06,16,00,00,NaN
2019,01,06,16,30,00,NaN
2019,01,06,17,00,00,NaN
2019,01,06,17,30,00,NaN
2019,01,06,18,00,00,NaN
2019,01,06,18,30,00,NaN
2019,01,06,19,00,00,NaN
2019,01,06,19,30,00,NaN
2019,01,06,20,00,00,NaN
2019,01,06,20,30,00,NaN
2019,01,06,21,00,00,NaN
2019,01,06,21,30,00,NaN
2019,01,06,22,00,00,NaN
2019,01,06,22,30,00,NaN
2019,01,06,23,00,00,NaN
2019,01,06,23,30,00,NaN
2019,01,07,00,00,00,0.45883
2019,01,07,00,30,00,0.5506
2019,01,07,01,00,00,0.46084
2019,01,07,01,30,00,0.58421
2019,01,07,02,00,00,0.50901
2019,01,07,02,30,00,0.44817
2019,01,07,03,00,00,0.45605
2019,01,07,03,30,00,0.51126
2019,01,07,04,00,00,0.46193
2019,01,07,04,30,00,0.51651
2019,01,07,05,00,00,0.51087
2019,01,07,05,30,00,0.43492
2019,01,07,06,00,00,0.51373
2019,01,07,06,30,00,NaN
2019,01,07,07,00,00,NaN
2019,01,07,07,30,00,NaN
2019,01,07,08,00,00,NaN
2019,01,07,08,30,00,NaN
2019,01,07,09,00,00,0.39635
2019,01,07,09,30,00,0.34431
2019,01,07,10,00,00,0.35059
2019,01,07,10,30,00,0.40809
2019,01,07,11,00,00,0.39688
2019,01,07,11,30,00,0.41967
2019,01,07,12,00,00,0.3333
2019,01,07,12,30,00,0.36438
2019,01,07,13,00,00,0.36127
2019,01,07,13,30,00,0.23096
2019,01,07,14,00,00,0.20453
2019,01,07,14,30,00,0.24543
2019,01,07,15,00,00,0.23461
2019,01,07,15,30,00,0.23604
2019,01,07,16,00,00,0.26863
2019,01,07,16,30,00,0.36349
2019,01,07,17,00,00,0.51243
2019,01,07,17,30,00,0.43369
2019,01,07,18,00,00,0.32485
2019,01,07,18,30,00,0.43268
2019,01,07,19,00,00,0.45468
2019,01,07,19,30,00,0.48528
2019,01,07,20,00,00,0.36122
2019,01,07,20,30,00,0.24792
2019,01,07,21,00,00,0.38787
2019,01,07,21,30,00,0.35907
2019,01,07,22,00,00,0.40423
2019,01,07,22,30,00,0.31029
2019,01,07,23,00,00,0.32842
2019,01,07,23,30,00,0.40072
2019,01,08,00,00,00,0.37752
2019,01,08,00,30,00,0.40097
2019,01,08,01,00,00,0.29041
2019,01,08,01,30,00,0.35274
2019,01,08,02,00,00,0.33861
2019,01,08,02,30,00,0.32546
2019,01,08,03,00,00,0.33612
2019,01,08,03,30,00,0.27185
2019,01,08,04,00,00,0.25928
2019,01,08,04,30,00,0.15237
2019,01,08,05,00,00,0.1783
2019,01,08,05,30,00,0.16692
2019,01,08,06,00,00,0.24969
2019,01,08,06,30,00,0.19663
2019,01,08,07,00,00,0.21645
2019,01,08,07,30,00,0.20362
2019,01,08,08,00,00,0.23482
2019,01,08,08,30,00,0.19089
2019,01,08,09,00,00,0.21863
2019,01,08,09,30,00,0.29487
2019,01,08,10,00,00,0.31601
2019,01,08,10,30,00,0.29757
2019,01,08,11,00,00,0.25274
2019,01,08,11,30,00,0.25058
2019,01,08,12,00,00,0.26838
2019,01,08,12,30,00,0.25407
2019,01,08,13,00,00,0.39214
2019,01,08,13,30,00,0.31009
2019,01,08,14,00,00,0.23327
2019,01,08,14,30,00,0.25736
2019,01,08,15,00,00,0.31974
2019,01,08,15,30,00,0.28946
2019,01,08,16,00,00,0.31768
2019,01,08,16,30,00,0.29804
2019,01,08,17,00,00,0.21176
2019,01,08,17,30,00,0.28254
2019,01,08,18,00,00,0.22804
2019,01,08,18,30,00,0.29585
2019,01,08,19,00,00,0.23225
2019,01,08,19,30,00,0.3216
2019,01,08,20,00,00,0.34239
2019,01,08,20,30,00,0.30471
2019,01,08,21,00,00,0.34751
2019,01,08,21,30,00,0.28055
2019,01,08,22,00,00,0.33651
