Year,Month,Day,Hour,Minute,Second,HYY_META.PAR2
2019,01,04,15,00,00,3.50844
2019,01,04,15,30,00,0
2019,01,04,16,00,00,0
2019,01,04,16,30,00,0
2019,01,04,17,00,00,0
2019,01,04,17,30,00,0
2019,01,04,18,00,00,0
2019,01,04,18,30,00,0
2019,01,04,19,00,00,0
2019,01,04,19,30,00,0
2019,01,04,20,00,00,0
2019,01,04,20,30,00,0
2019,01,04,21,00,00,0
2019,01,04,21,30,00,0
2019,01,04,22,00,00,0
2019,01,04,22,30,00,0
2019,01,04,23,00,00,0
2019,01,04,23,30,00,0
2019,01,05,00,00,00,0
2019,01,05,00,30,00,0
2019,01,05,01,00,00,0
2019,01,05,01,30,00,0
2019,01,05,02,00,00,0
2019,01,05,02,30,00,0
2019,01,05,03,00,00,0
2019,01,05,03,30,00,0
2019,01,05,04,00,00,0
2019,01,05,04,30,00,0
2019,01,05,05,00,00,0
2019,01,05,05,30,00,0
2019,01,05,06,00,00,0
2019,01,05,06,30,00,0
2019,01,05,07,00,00,0
2019,01,05,07,30,00,0
2019,01,05,08,00,00,0
2019,01,05,08,30,00,0
2019,01,05,09,00,00,0.11411
2019,01,05,09,30,00,4.24728
2019,01,05,10,00,00,15.06161
2019,01,05,10,30,00,31.14939
2019,01,05,11,00,00,54.08578
2019,01,05,11,30,00,60.64606
2019,01,05,12,00,00,77.074
2019,01,05,12,30,00,70.85494
2019,01,05,13,00,00,80.53439
2019,01,05,13,30,00,45.77972
2019,01,05,14,00,00,27.51228
2019,01,05,14,30,00,14.32344
2019,01,05,15,00,00,4.91522
2019,01,05,15,30,00,0.13494
2019,01,05,16,00,00,0
2019,01,05,16,30,00,0
2019,01,05,17,00,00,0
2019,01,05,17,30,00,0
2019,01,05,18,00,00,0
2019,01,05,18,30,00,0
2019,01,05,19,00,00,0
2019,01,05,19,30,00,0
2019,01,05,20,00,00,0
2019,01,05,20,30,00,0
2019,01,05,21,00,00,0
2019,01,05,21,30,00,0
2019,01,05,22,00,00,0
2019,01,05,22,30,00,0
2019,01,05,23,00,00,0
2019,01,05,23,30,00,0
2019,01,06,00,00,00,0
2019,01,06,00,30,00,0
