Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,04,08,30,00,99.10161
2019,01,04,09,00,00,99.20139
2019,01,04,09,30,00,99.31394
2019,01,04,10,00,00,99.32606
2019,01,04,10,30,00,99.38503
2019,01,04,11,00,00,99.67328
2019,01,04,11,30,00,99.81944
2019,01,04,12,00,00,99.86631
2019,01,04,12,30,00,99.95883
2019,01,04,13,00,00,99.99981
2019,01,04,13,30,00,99.96803
2019,01,04,14,00,00,99.90039
2019,01,04,14,30,00,99.90767
2019,01,04,15,00,00,99.86714
2019,01,04,15,30,00,99.78017
2019,01,04,16,00,00,99.80419
2019,01,04,16,30,00,99.78156
2019,01,04,17,00,00,99.55517
2019,01,04,17,30,00,99.45567
2019,01,04,18,00,00,99.27497
2019,01,04,18,30,00,99.193
2019,01,04,19,00,00,99.16661
2019,01,04,19,30,00,99.07456
2019,01,04,20,00,00,98.94189
2019,01,04,20,30,00,98.81778
2019,01,04,21,00,00,98.85097
2019,01,04,21,30,00,98.76192
2019,01,04,22,00,00,98.50864
2019,01,04,22,30,00,98.39264
2019,01,04,23,00,00,98.30392
2019,01,04,23,30,00,98.14197
2019,01,05,00,00,00,97.88739
2019,01,05,00,30,00,97.85897
2019,01,05,01,00,00,97.79292
2019,01,05,01,30,00,97.52897
2019,01,05,02,00,00,97.37125
2019,01,05,02,30,00,97.29042
2019,01,05,03,00,00,97.15697
2019,01,05,03,30,00,96.92653
2019,01,05,04,00,00,96.73975
2019,01,05,04,30,00,96.53003
2019,01,05,05,00,00,96.48417
2019,01,05,05,30,00,96.34342
2019,01,05,06,00,00,96.32547
2019,01,05,06,30,00,96.20481
2019,01,05,07,00,00,96.13322
2019,01,05,07,30,00,96.19403
2019,01,05,08,00,00,96.19458
2019,01,05,08,30,00,96.12328
2019,01,05,09,00,00,96.16805
2019,01,05,09,30,00,96.17058
2019,01,05,10,00,00,96.29514
2019,01,05,10,30,00,96.21258
2019,01,05,11,00,00,96.09444
2019,01,05,11,30,00,96.17514
2019,01,05,12,00,00,96.32489
2019,01,05,12,30,00,96.44014
2019,01,05,13,00,00,96.50039
2019,01,05,13,30,00,96.69733
2019,01,05,14,00,00,96.82081
2019,01,05,14,30,00,96.72222
2019,01,05,15,00,00,96.63258
2019,01,05,15,30,00,96.69908
2019,01,05,16,00,00,96.75344
2019,01,05,16,30,00,96.82378
2019,01,05,17,00,00,96.92447
