Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2019,01,04,02,00,00,-8.04433
2019,01,04,02,30,00,-7.80867
2019,01,04,03,00,00,-7.866
2019,01,04,03,30,00,-7.98267
2019,01,04,04,00,00,-7.873
2019,01,04,04,30,00,-7.54967
2019,01,04,05,00,00,-7.27167
2019,01,04,05,30,00,-6.87333
2019,01,04,06,00,00,-6.46633
2019,01,04,06,30,00,-6.24233
2019,01,04,07,00,00,-5.93633
2019,01,04,07,30,00,-5.663
2019,01,04,08,00,00,-5.47833
2019,01,04,08,30,00,-5.043
2019,01,04,09,00,00,-4.63467
2019,01,04,09,30,00,-4.35767
2019,01,04,10,00,00,-4.146
2019,01,04,10,30,00,-3.873
2019,01,04,11,00,00,-3.318
2019,01,04,11,30,00,-2.97567
2019,01,04,12,00,00,-2.805
2019,01,04,12,30,00,-2.59633
2019,01,04,13,00,00,-2.452
2019,01,04,13,30,00,-2.55967
2019,01,04,14,00,00,-2.86067
2019,01,04,14,30,00,-2.89967
2019,01,04,15,00,00,-3.00067
2019,01,04,15,30,00,-3.15167
2019,01,04,16,00,00,-3.19367
2019,01,04,16,30,00,-3.16567
2019,01,04,17,00,00,-3.356
2019,01,04,17,30,00,-3.476
2019,01,04,18,00,00,-3.73167
2019,01,04,18,30,00,-3.96633
2019,01,04,19,00,00,-3.994
2019,01,04,19,30,00,-4.076
2019,01,04,20,00,00,-4.32033
2019,01,04,20,30,00,-4.51633
2019,01,04,21,00,00,-4.556
2019,01,04,21,30,00,-4.619
2019,01,04,22,00,00,-4.916
2019,01,04,22,30,00,-5.19933
2019,01,04,23,00,00,-5.378
2019,01,04,23,30,00,-5.55267
2019,01,05,00,00,00,-5.92933
2019,01,05,00,30,00,-6.15067
2019,01,05,01,00,00,-6.281
2019,01,05,01,30,00,-6.59633
2019,01,05,02,00,00,-6.92267
2019,01,05,02,30,00,-7.14933
2019,01,05,03,00,00,-7.30433
2019,01,05,03,30,00,-7.56133
2019,01,05,04,00,00,-7.81367
2019,01,05,04,30,00,-8.07233
2019,01,05,05,00,00,-8.24067
2019,01,05,05,30,00,-8.389
2019,01,05,06,00,00,-8.523
2019,01,05,06,30,00,-8.661
2019,01,05,07,00,00,-8.74967
2019,01,05,07,30,00,-8.71867
2019,01,05,08,00,00,-8.734
2019,01,05,08,30,00,-8.79433
2019,01,05,09,00,00,-8.82367
2019,01,05,09,30,00,-8.82633
2019,01,05,10,00,00,-8.74633
2019,01,05,10,30,00,-8.77733
2019,01,05,11,00,00,-8.80467
2019,01,05,11,30,00,-8.757
2019,01,05,12,00,00,-8.57167
2019,01,05,12,30,00,-8.313
2019,01,05,13,00,00,-8.105
2019,01,05,13,30,00,-7.974
2019,01,05,14,00,00,-7.89667
2019,01,05,14,30,00,-7.874
2019,01,05,15,00,00,-8.03767
2019,01,05,15,30,00,-8.09633
2019,01,05,16,00,00,-8.057
2019,01,05,16,30,00,-7.97133
2019,01,05,17,00,00,-7.82933
2019,01,05,17,30,00,-7.715
2019,01,05,18,00,00,-7.66467
2019,01,05,18,30,00,-7.61267
2019,01,05,19,00,00,-7.639
2019,01,05,19,30,00,-7.60033
2019,01,05,20,00,00,-7.64167
2019,01,05,20,30,00,-7.64333
2019,01,05,21,00,00,-7.633
2019,01,05,21,30,00,-7.50733
2019,01,05,22,00,00,-7.36267
2019,01,05,22,30,00,-7.20567
2019,01,05,23,00,00,-7.051
2019,01,05,23,30,00,-6.925
2019,01,06,00,00,00,-6.75
2019,01,06,00,30,00,-6.59567
2019,01,06,01,00,00,-6.46967
2019,01,06,01,30,00,-6.44867
2019,01,06,02,00,00,-6.30433
2019,01,06,02,30,00,-5.96967
2019,01,06,03,00,00,-6.005
2019,01,06,03,30,00,-5.961
2019,01,06,04,00,00,-5.71867
2019,01,06,04,30,00,-5.58933
2019,01,06,05,00,00,-5.55233
2019,01,06,05,30,00,-5.38667
2019,01,06,06,00,00,-5.251
2019,01,06,06,30,00,-5.12267
2019,01,06,07,00,00,-4.94533
2019,01,06,07,30,00,-4.85167
2019,01,06,08,00,00,-4.699
2019,01,06,08,30,00,-4.60433
2019,01,06,09,00,00,-4.54233
2019,01,06,09,30,00,-4.50067
2019,01,06,10,00,00,-4.43667
2019,01,06,10,30,00,-4.38667
2019,01,06,11,00,00,-4.261
2019,01,06,11,30,00,-4.064
2019,01,06,12,00,00,-3.90367
2019,01,06,12,30,00,-3.87567
2019,01,06,13,00,00,-3.874
2019,01,06,13,30,00,-3.91533
2019,01,06,14,00,00,-3.90467
2019,01,06,14,30,00,-3.81433
2019,01,06,15,00,00,-3.656
2019,01,06,15,30,00,-3.41833
2019,01,06,16,00,00,-3.25267
2019,01,06,16,30,00,-3.08467
2019,01,06,17,00,00,-2.88267
2019,01,06,17,30,00,-2.67433
2019,01,06,18,00,00,-2.517
2019,01,06,18,30,00,-2.42333
2019,01,06,19,00,00,-2.314
